"Id","ProfileType","Category","Attribute","ObisCode","IsValidated","AttributeIndex"
"17aaf6da-257a-41a5-9d65-6d505b894acb","2","1P","Export Cum. kVAR Lead","1.0.6.8.0.255","0","2"
"847b7383-1ce5-40a2-b43c-b616a7b06012","2","1P","ExportPF","1.0.13.140.0.255","0",""
"c1bdb5ea-8d55-41fc-8dd7-a21503184ad7","2","1P","Frequency","1.0.14.27.0.255","0","2"
"d055c869-eab8-43e2-b5b0-1643370e0a72","2","1P","LoadOffDurationInMins","0.0.94.91.17.255","0","2"
"b6f3b256-dea4-469c-8f43-af4709065a7f","2","1P","MeterHealthIndicator","0.0.96.10.1.255","0","2"
"37c51b83-c18a-411e-a9c1-536a76712ac6","2","1P","MeterOffDurationInMins","0.0.94.91.16.255","0","2"
"f1c11373-9a43-478f-98d3-fa07b0639659","2","1P","MeterOnDurationInMins","0.0.94.91.19.255","0","2"
"dface5d6-597b-4d8c-b92e-ec2e695f507c","2","1P","NetKvah","1.0.49.29.0.255","0","2"
"9bb4b209-fd52-4cc3-8496-7ce01b437d49","2","1P","NetKwh","1.0.16.29.0.255","0","2"
"960f2fcc-cb53-48a1-8210-0291774c7328","2","1P","NeutralCurrent","1.0.91.27.0.255","1","2"
"b7668076-e439-4450-b679-88eaf6440487","2","1P","NoLoadPeriod","0.0.94.91.132.255","0",""
"5615ebaa-a9e2-436c-a76a-2453a6455b4f","2","1P","NoSupplyPeriod","0.0.94.91.133.255","0",""
"9ee9684b-ea54-4c59-9b56-f446051472ae","2","1P","RtcDateTime","0.0.1.0.0.255","1","2"
"baf4174e-c103-458d-9129-8653ddd0ff41","2","1P","Supply Frequency","1.0.14.27.0.255","0","2"
"ecd1acba-0b04-4f84-84b8-52a78113fbd4","2","3P","AverageExportPF","1.0.13.27.2.255","0","2"
"9f850349-1aa7-41c7-82f3-65ea35a559c3","2","3P","AverageImportPF","1.0.13.27.1.255","0","2"
"da11e53f-73e0-491a-9106-ebee724c37c1","2","3P","AveragePF","1.0.13.27.0.255","0","2"
"c1377d11-49db-47c9-900f-000348208924","2","3P","AverageSignalStrength","0.1.96.12.5.255","0","2"
"60ad0457-3619-4f02-81c3-0294bf3ea2a6","2","3P","BlockPowerOffDurationInMins","0.0.94.91.16.255","0","2"
"6d659a5f-285b-4da4-812a-da2f4ae040dc","2","3P","BPhaseCurrent","1.0.71.27.0.255","1","2"
"25e96da3-b29d-4f83-aa12-a14375359212","2","3P","BPhasePowerFactor","1.0.73.27.0.255","1","2"
"28747c64-422f-4c20-bc5e-2643ed3e93c0","2","3P","BPhaseVoltage","1.0.72.7.0.255","1","2"
"c8bc1514-51b0-42a9-93da-2f5838f565f7","2","3P","CumulativeEnergyKvahExport","1.0.10.29.0.255","1","2"
"a346296b-1110-431f-a566-b6c5619824e1","2","3P","CumulativeEnergyKvahImport","1.0.9.29.0.255","1","2"
"6041191f-eb75-4b02-866c-1c661985eb9b","2","3P","CumulativeEnergyKvarhQ1","1.0.5.8.0.255","0","2"
"1ef0fe02-5934-46e5-acf9-a2e9c0208b6f","2","3P","CumulativeEnergyKvarhQ2","1.0.6.8.0.255","0","2"
"d9d82bae-eaf0-4a2b-bfa7-0d87da86ea2a","2","3P","CumulativeEnergyKvarhQ3","1.0.7.8.0.255","0","2"
"3e04821d-0a42-4311-8fe8-b29597613aef","2","3P","CumulativeEnergyKvarhQ4","1.0.8.8.0.255","0","2"
"42ead576-0d09-4812-b3a2-541cbfc97c7a","2","3P","CumulativeEnergyKwhExport","1.0.2.29.0.255","1","2"
"4cd154ff-d43a-450d-a98a-3bf01ae15fec","2","3P","CumulativeEnergyKwhImport","1.0.1.29.0.255","1","2"
"350243bf-64a2-4bbe-a602-6ae1973a1246","2","3P","ExportPF","1.0.13.140.0.255","0",""
"5b2b208c-8deb-44e0-a66f-181f09f382ce","2","3P","ImportAveragePF","1.0.13.27.0.255","0","2"
"29e82e2d-3f81-484e-ab94-04a676dc7beb","2","3P","LoadOffDurationInMins","0.0.94.91.17.255","0","2"
"30117221-8807-469c-b220-cb63485aeb30","2","3P","LRSCCounter","0.128.96.0.21.255","0","2"
"5967e1dd-696e-4d23-9eff-4b513d6f3e67","2","3P","MaximumDemandKvah","1.0.9.26.0.255","0","2"
"3013a9f1-0b1d-4cea-a561-dc67384c1410","2","3P","MaximumDemandKw","1.0.1.26.0.255","0","2"
"b9bd6641-b54f-48ff-bc4f-939138b55746","2","3P","MeterHealthIndicator","0.0.96.10.1.255","0","2"
"f3b18af3-7b64-4fad-b967-72d32ca3de31","2","3P","NetEnergyKvarhLag","1.0.23.29.0.255","0","2"
"c28193c8-914b-4aaf-8df8-42230bf1ffdf","2","3P","NetEnergyKvarhLead","1.0.63.29.0.255","0","2"
"b4b9161c-3616-45c1-b44e-635078314f99","2","3P","NetKvah","1.0.49.29.0.255","0","2"
"ab09aecc-ae79-4059-a0ad-55c819af1e4f","2","3P","NetKwh","1.0.16.29.0.255","0","2"
"657c7bd5-1c4a-4438-874d-7a2f8cf60273","2","3P","NeutralCurrent","1.0.91.27.0.255","0","2"
"46eaec3f-955a-48b9-9696-9dd267f37974","2","3P","NoLoadPeriod","0.0.94.91.132.255","0",""
"3b53dabd-88d0-4977-8ed0-a0d6b1db5270","2","3P","NoSupplyPeriod","0.0.94.91.133.255","0",""
"c430593d-24b0-43d0-a9ad-1ad9790ea0ca","2","3P","RPhaseCurrent","1.0.31.27.0.255","1","2"
"8f325255-9e1e-4fac-9a55-1c7395094f1b","2","3P","RPhasePowerFactor","1.0.33.27.0.255","1","2"
"fc878480-486a-46a7-a533-6c8b1ff05972","2","3P","RPhaseVoltage","1.0.32.27.0.255","1","2"
"0dbcd1b7-b86b-4537-9a78-88bb3a49aada","2","3P","RtcDateTime","0.0.1.0.0.255","1","2"
"c3778a95-6712-44b3-8496-449688e8756d","2","3P","SignedPowerFactor","1.0.13.7.0.255","1","2"
"8da59471-9f95-44ab-8592-4d9d0755726d","2","3P","SupplyFrequency","1.0.14.27.0.255","0","2"
"a90d9f2c-54d6-4bff-8880-ad22142599da","2","3P","YPhaseCurrent","1.0.51.27.0.255","1","2"
"316663ea-80cf-4078-a131-b18c0195eca7","2","3P","YPhasePowerFactor","1.0.53.27.0.255","1","2"
"87bbdffd-95e3-437c-8850-27da9a453f24","2","3P","YPhaseVoltage","1.0.52.27.0.255","1","2"
"2915e8a3-7961-491f-84c0-2c1aef73b784","2","CT","AverageSignalStrength","0.1.96.12.5.255","0","2"
"21a28a43-5156-4afd-a6a6-5e7ed0b5240a","2","CT","BlockPowerOffDurationInMins","0.0.94.91.16.255","0","2"
"43ad6153-c8d1-4859-80b7-9255dfb4e70c","2","CT","BPhaseCurrent","1.0.71.27.0.255","1","2"
"0950f539-d0ea-4771-87b9-b178637b40c9","2","CT","BPhasePowerFactor","1.0.73.27.0.255","1","2"
"877ae478-771e-4260-b947-f618932fc70f","2","CT","BPhaseVoltage","1.0.72.27.0.255","1","2"
"0074e312-8deb-46fa-aca2-ef3eae96df7d","2","CT","CumulativeEnergyKvahExport","1.0.10.29.0.255","1","2"
"5922ab53-5937-4acb-8610-e6f21b7d92a4","2","CT","CumulativeEnergyKvahImport","1.0.9.29.0.255","1","2"
"12dfc6a9-5f47-4e7d-85d4-26c3bd3a2c96","2","CT","CumulativeEnergyKwhExport","1.0.2.29.0.255","1","2"
"7f9b4d88-f0a8-45dd-ac3b-372873042fd2","2","CT","CumulativeEnergyKwhImport","1.0.1.29.0.255","1","2"
"dadfa040-326b-4bba-ac01-9b3c56b05b94","2","CT","CumulativeKvarhQ1","1.0.5.29.0.255","1","2"
"e9020e83-426e-4403-a7d3-f2e6ccb92524","2","CT","CumulativeKvarhQ2","1.0.6.29.0.255","1","2"
"b271da3d-8c8f-4c0f-a230-805f1004aea1","2","CT","CumulativeKvarhQ3","1.0.7.29.0.255","1","2"
